ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,B001KVZ6HK,LEXRANKSYSTEM1.TXT,0.43478,0.10309,0.16667,1
ROUGE-2,B001KVZ6HK,TEXTRANKSYSTEM4.TXT,0.17391,0.03252,0.05479,1
ROUGE-2,B001KVZ6HK,LSASYSTEM2.TXT,0.04348,0.00392,0.00719,1
ROUGE-2,B001KVZ6HK,SUMBASICSYSTEM3.TXT,0.39130,0.06618,0.11321,1
ROUGE-2,0793906091,TEXTRANKSYSTEM4.TXT,0.27341,0.26449,0.26888,1
ROUGE-2,0793906091,LSASYSTEM2.TXT,0.56180,0.41209,0.47544,1
ROUGE-2,0793906091,SUMBASICSYSTEM3.TXT,0.09363,0.13021,0.10893,1
ROUGE-2,0793906091,LEXRANKSYSTEM1.TXT,0.37079,0.44395,0.40408,1
ROUGE-2,B009934S5M,LSASYSTEM2.TXT,0.10000,0.01439,0.02516,1
ROUGE-2,B009934S5M,TEXTRANKSYSTEM4.TXT,0.45000,0.09945,0.16290,1
ROUGE-2,B009934S5M,LEXRANKSYSTEM1.TXT,0.55000,0.20755,0.30137,1
ROUGE-2,B009934S5M,SUMBASICSYSTEM3.TXT,0.47500,0.16379,0.24359,1
ROUGE-2,B003EYVXV4,TEXTRANKSYSTEM4.TXT,0.03704,0.01000,0.01575,1
ROUGE-2,B003EYVXV4,LEXRANKSYSTEM1.TXT,0.37037,0.12903,0.19139,1
ROUGE-2,B003EYVXV4,LSASYSTEM2.TXT,0.05556,0.00693,0.01232,1
ROUGE-2,B003EYVXV4,SUMBASICSYSTEM3.TXT,0.66667,0.25000,0.36364,1
ROUGE-2,B005LAIHXQ,SUMBASICSYSTEM3.TXT,0.84615,0.23404,0.36667,1
ROUGE-2,B005LAIHXQ,LEXRANKSYSTEM1.TXT,0.15385,0.01527,0.02778,1
ROUGE-2,B005LAIHXQ,LSASYSTEM2.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,B005LAIHXQ,TEXTRANKSYSTEM4.TXT,0.38462,0.01742,0.03333,1
ROUGE-2,630575067X,LSASYSTEM2.TXT,0.04762,0.00581,0.01036,1
ROUGE-2,630575067X,TEXTRANKSYSTEM4.TXT,0.52381,0.18803,0.27673,1
ROUGE-2,630575067X,SUMBASICSYSTEM3.TXT,0.35714,0.18750,0.24590,1
ROUGE-2,630575067X,LEXRANKSYSTEM1.TXT,0.57143,0.19672,0.29268,1
ROUGE-2,B002VPE1AW,LEXRANKSYSTEM1.TXT,0.41667,0.12500,0.19231,1
ROUGE-2,B002VPE1AW,LSASYSTEM2.TXT,0.10417,0.01453,0.02551,1
ROUGE-2,B002VPE1AW,SUMBASICSYSTEM3.TXT,0.50000,0.25532,0.33803,1
ROUGE-2,B002VPE1AW,TEXTRANKSYSTEM4.TXT,0.18750,0.04390,0.07115,1
ROUGE-2,B00003CWT6,SUMBASICSYSTEM3.TXT,0.44444,0.25926,0.32749,1
ROUGE-2,B00003CWT6,LSASYSTEM2.TXT,0.04762,0.00906,0.01523,1
ROUGE-2,B00003CWT6,LEXRANKSYSTEM1.TXT,0.55556,0.24306,0.33816,1
ROUGE-2,B00003CWT6,TEXTRANKSYSTEM4.TXT,0.14286,0.04737,0.07115,1
ROUGE-2,B0000AQS0F,LSASYSTEM2.TXT,0.05455,0.00792,0.01382,1
ROUGE-2,B0000AQS0F,SUMBASICSYSTEM3.TXT,0.63636,0.36842,0.46667,1
ROUGE-2,B0000AQS0F,LEXRANKSYSTEM1.TXT,0.29091,0.10458,0.15385,1
ROUGE-2,B0000AQS0F,TEXTRANKSYSTEM4.TXT,0.12727,0.03483,0.05469,1
ROUGE-2,B0059XTU1S,LSASYSTEM2.TXT,0.07576,0.01389,0.02347,1
ROUGE-2,B0059XTU1S,LEXRANKSYSTEM1.TXT,0.46970,0.18023,0.26050,1
ROUGE-2,B0059XTU1S,SUMBASICSYSTEM3.TXT,0.30303,0.12195,0.17391,1
ROUGE-2,B0059XTU1S,TEXTRANKSYSTEM4.TXT,0.31818,0.10244,0.15498,1
