ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,B001KVZ6HK,LEXRANKSYSTEM1.TXT,0.44404,0.67213,0.53478,1
ROUGE-1,B001KVZ6HK,TEXTRANKSYSTEM4.TXT,0.14440,0.56338,0.22989,1
ROUGE-1,B001KVZ6HK,LSASYSTEM2.TXT,0.81227,0.39130,0.52817,1
ROUGE-1,B001KVZ6HK,SUMBASICSYSTEM3.TXT,0.34657,0.78689,0.48120,1
ROUGE-1,0793906091,TEXTRANKSYSTEM4.TXT,0.58681,0.67424,0.62750,1
ROUGE-1,0793906091,LSASYSTEM2.TXT,0.72308,0.48669,0.58179,1
ROUGE-1,0793906091,SUMBASICSYSTEM3.TXT,0.24396,0.71154,0.36334,1
ROUGE-1,0793906091,LEXRANKSYSTEM1.TXT,0.42637,0.78226,0.55192,1
ROUGE-1,B009934S5M,LSASYSTEM2.TXT,0.87405,0.34027,0.48984,1
ROUGE-1,B009934S5M,TEXTRANKSYSTEM4.TXT,0.52290,0.46599,0.49281,1
ROUGE-1,B009934S5M,LEXRANKSYSTEM1.TXT,0.33969,0.66917,0.45063,1
ROUGE-1,B009934S5M,SUMBASICSYSTEM3.TXT,0.30916,0.65854,0.42078,1
ROUGE-1,B003EYVXV4,TEXTRANKSYSTEM4.TXT,0.79661,0.37302,0.50811,1
ROUGE-1,B003EYVXV4,LEXRANKSYSTEM1.TXT,0.74576,0.18257,0.29333,1
ROUGE-1,B003EYVXV4,LSASYSTEM2.TXT,0.44068,0.04248,0.07750,1
ROUGE-1,B003EYVXV4,SUMBASICSYSTEM3.TXT,0.52542,0.23485,0.32461,1
ROUGE-1,B005LAIHXQ,SUMBASICSYSTEM3.TXT,0.68571,0.31169,0.42857,1
ROUGE-1,B005LAIHXQ,LEXRANKSYSTEM1.TXT,0.77143,0.35762,0.48869,1
ROUGE-1,B005LAIHXQ,LSASYSTEM2.TXT,0.61429,0.07203,0.12894,1
ROUGE-1,B005LAIHXQ,TEXTRANKSYSTEM4.TXT,0.68571,0.30573,0.42291,1
ROUGE-1,630575067X,LSASYSTEM2.TXT,0.61682,0.09154,0.15942,1
ROUGE-1,630575067X,TEXTRANKSYSTEM4.TXT,0.74766,0.24096,0.36446,1
ROUGE-1,630575067X,SUMBASICSYSTEM3.TXT,0.62617,0.31905,0.42271,1
ROUGE-1,630575067X,LEXRANKSYSTEM1.TXT,0.82243,0.41706,0.55346,1
ROUGE-1,B002VPE1AW,LEXRANKSYSTEM1.TXT,0.74576,0.31206,0.44000,1
ROUGE-1,B002VPE1AW,LSASYSTEM2.TXT,0.54237,0.04900,0.08989,1
ROUGE-1,B002VPE1AW,SUMBASICSYSTEM3.TXT,0.55932,0.20755,0.30275,1
ROUGE-1,B002VPE1AW,TEXTRANKSYSTEM4.TXT,0.67797,0.28777,0.40404,1
ROUGE-1,B00003CWT6,SUMBASICSYSTEM3.TXT,0.35014,0.36982,0.35971,1
ROUGE-1,B00003CWT6,LSASYSTEM2.TXT,0.77871,0.35101,0.48390,1
ROUGE-1,B00003CWT6,LEXRANKSYSTEM1.TXT,0.32213,0.66860,0.43478,1
ROUGE-1,B00003CWT6,TEXTRANKSYSTEM4.TXT,0.55182,0.36015,0.43584,1
ROUGE-1,B0000AQS0F,LSASYSTEM2.TXT,0.84830,0.39826,0.54204,1
ROUGE-1,B0000AQS0F,SUMBASICSYSTEM3.TXT,0.24149,0.66102,0.35374,1
ROUGE-1,B0000AQS0F,LEXRANKSYSTEM1.TXT,0.25077,0.72973,0.37327,1
ROUGE-1,B0000AQS0F,TEXTRANKSYSTEM4.TXT,0.39319,0.51626,0.44640,1
ROUGE-1,B0059XTU1S,LSASYSTEM2.TXT,0.47619,0.04573,0.08345,1
ROUGE-1,B0059XTU1S,LEXRANKSYSTEM1.TXT,0.82540,0.39695,0.53608,1
ROUGE-1,B0059XTU1S,SUMBASICSYSTEM3.TXT,0.36508,0.18400,0.24468,1
ROUGE-1,B0059XTU1S,TEXTRANKSYSTEM4.TXT,0.92063,0.47934,0.63043,1
